,mean,sd,hdi_10%,hdi_90%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
r_t[2020-02-04T00:00:00.000000000],1.064,0.05,1.023,1.09,0.015,0.013,6.0,22.0,1.88
r_t[2020-02-05T00:00:00.000000000],1.064,0.05,1.023,1.09,0.015,0.013,6.0,22.0,1.88
r_t[2020-02-06T00:00:00.000000000],1.064,0.05,1.023,1.09,0.015,0.013,6.0,22.0,1.88
r_t[2020-02-07T00:00:00.000000000],1.339,0.189,1.122,1.505,0.073,0.03,6.0,22.0,1.92
r_t[2020-02-08T00:00:00.000000000],1.339,0.189,1.122,1.505,0.073,0.03,6.0,22.0,1.92
r_t[2020-02-09T00:00:00.000000000],1.339,0.189,1.122,1.505,0.073,0.03,6.0,22.0,1.92
r_t[2020-02-10T00:00:00.000000000],1.331,0.206,1.116,1.499,0.075,0.041,6.0,22.0,1.92
r_t[2020-02-11T00:00:00.000000000],1.331,0.206,1.116,1.499,0.075,0.041,6.0,22.0,1.92
r_t[2020-02-12T00:00:00.000000000],1.331,0.206,1.116,1.499,0.075,0.041,6.0,22.0,1.92
r_t[2020-02-13T00:00:00.000000000],1.323,0.188,1.114,1.494,0.071,0.031,6.0,22.0,1.98
r_t[2020-02-14T00:00:00.000000000],1.323,0.188,1.114,1.494,0.071,0.031,6.0,22.0,1.98
r_t[2020-02-15T00:00:00.000000000],1.323,0.188,1.114,1.494,0.071,0.031,6.0,22.0,1.98
r_t[2020-02-16T00:00:00.000000000],1.295,0.172,1.116,1.461,0.064,0.03,6.0,22.0,1.92
r_t[2020-02-17T00:00:00.000000000],1.295,0.172,1.116,1.461,0.064,0.03,6.0,22.0,1.92
r_t[2020-02-18T00:00:00.000000000],1.295,0.172,1.116,1.461,0.064,0.03,6.0,22.0,1.92
r_t[2020-02-19T00:00:00.000000000],1.276,0.135,1.153,1.445,0.054,0.017,6.0,22.0,1.92
r_t[2020-02-20T00:00:00.000000000],1.276,0.135,1.153,1.445,0.054,0.017,6.0,22.0,1.92
r_t[2020-02-21T00:00:00.000000000],1.276,0.135,1.153,1.445,0.054,0.017,6.0,22.0,1.92
r_t[2020-02-22T00:00:00.000000000],1.246,0.112,1.109,1.379,0.045,0.014,6.0,22.0,1.92
r_t[2020-02-23T00:00:00.000000000],1.246,0.112,1.109,1.379,0.045,0.014,6.0,22.0,1.92
r_t[2020-02-24T00:00:00.000000000],1.246,0.112,1.109,1.379,0.045,0.014,6.0,22.0,1.92
r_t[2020-02-25T00:00:00.000000000],1.229,0.099,1.11,1.341,0.04,0.012,6.0,22.0,1.92
r_t[2020-02-26T00:00:00.000000000],1.229,0.099,1.11,1.341,0.04,0.012,6.0,22.0,1.92
r_t[2020-02-27T00:00:00.000000000],1.229,0.099,1.11,1.341,0.04,0.012,6.0,22.0,1.92
r_t[2020-02-28T00:00:00.000000000],1.223,0.09,1.138,1.325,0.036,0.012,6.0,22.0,1.86
r_t[2020-02-29T00:00:00.000000000],1.223,0.09,1.138,1.325,0.036,0.012,6.0,22.0,1.86
r_t[2020-03-01T00:00:00.000000000],1.223,0.09,1.138,1.325,0.036,0.012,6.0,22.0,1.86
r_t[2020-03-02T00:00:00.000000000],1.216,0.078,1.141,1.304,0.033,0.01,6.0,22.0,1.96
r_t[2020-03-03T00:00:00.000000000],1.216,0.078,1.141,1.304,0.033,0.01,6.0,22.0,1.96
r_t[2020-03-04T00:00:00.000000000],1.216,0.078,1.141,1.304,0.033,0.01,6.0,22.0,1.96
r_t[2020-03-05T00:00:00.000000000],1.187,0.059,1.142,1.27,0.024,0.009,6.0,22.0,1.93
r_t[2020-03-06T00:00:00.000000000],1.187,0.059,1.142,1.27,0.024,0.009,6.0,22.0,1.93
r_t[2020-03-07T00:00:00.000000000],1.187,0.059,1.142,1.27,0.024,0.009,6.0,22.0,1.93
r_t[2020-03-08T00:00:00.000000000],1.149,0.039,1.119,1.207,0.016,0.008,6.0,22.0,2.4
r_t[2020-03-09T00:00:00.000000000],1.149,0.039,1.119,1.207,0.016,0.008,6.0,22.0,2.4
r_t[2020-03-10T00:00:00.000000000],1.149,0.039,1.119,1.207,0.016,0.008,6.0,22.0,2.4
r_t[2020-03-11T00:00:00.000000000],1.124,0.021,1.11,1.152,0.008,0.005,6.0,22.0,1.75
r_t[2020-03-12T00:00:00.000000000],1.124,0.021,1.11,1.152,0.008,0.005,6.0,22.0,1.75
r_t[2020-03-13T00:00:00.000000000],1.124,0.021,1.11,1.152,0.008,0.005,6.0,22.0,1.75
r_t[2020-03-14T00:00:00.000000000],1.125,0.025,1.104,1.165,0.008,0.006,9.0,22.0,1.24
r_t[2020-03-15T00:00:00.000000000],1.125,0.025,1.104,1.165,0.008,0.006,9.0,22.0,1.24
r_t[2020-03-16T00:00:00.000000000],1.125,0.025,1.104,1.165,0.008,0.006,9.0,22.0,1.24
r_t[2020-03-17T00:00:00.000000000],1.122,0.021,1.099,1.145,0.007,0.005,7.0,22.0,1.41
r_t[2020-03-18T00:00:00.000000000],1.122,0.021,1.099,1.145,0.007,0.005,7.0,22.0,1.41
r_t[2020-03-19T00:00:00.000000000],1.122,0.021,1.099,1.145,0.007,0.005,7.0,22.0,1.41
r_t[2020-03-20T00:00:00.000000000],1.114,0.023,1.099,1.139,0.007,0.005,9.0,22.0,1.94
r_t[2020-03-21T00:00:00.000000000],1.114,0.023,1.099,1.139,0.007,0.005,9.0,22.0,1.94
r_t[2020-03-22T00:00:00.000000000],1.114,0.023,1.099,1.139,0.007,0.005,9.0,22.0,1.94
r_t[2020-03-23T00:00:00.000000000],1.12,0.028,1.073,1.144,0.007,0.004,10.0,22.0,1.15
r_t[2020-03-24T00:00:00.000000000],1.12,0.028,1.073,1.144,0.007,0.004,10.0,22.0,1.15
r_t[2020-03-25T00:00:00.000000000],1.12,0.028,1.073,1.144,0.007,0.004,10.0,22.0,1.15
r_t[2020-03-26T00:00:00.000000000],1.115,0.023,1.108,1.142,0.006,0.005,12.0,22.0,1.18
r_t[2020-03-27T00:00:00.000000000],1.115,0.023,1.108,1.142,0.006,0.005,12.0,22.0,1.18
r_t[2020-03-28T00:00:00.000000000],1.115,0.023,1.108,1.142,0.006,0.005,12.0,22.0,1.18
r_t[2020-03-29T00:00:00.000000000],1.109,0.025,1.087,1.141,0.006,0.004,14.0,22.0,1.02
r_t[2020-03-30T00:00:00.000000000],1.109,0.025,1.087,1.141,0.006,0.004,14.0,22.0,1.02
r_t[2020-03-31T00:00:00.000000000],1.109,0.025,1.087,1.141,0.006,0.004,14.0,22.0,1.02
r_t[2020-04-01T00:00:00.000000000],1.106,0.023,1.089,1.13,0.005,0.004,12.0,22.0,1.14
r_t[2020-04-02T00:00:00.000000000],1.106,0.023,1.089,1.13,0.005,0.004,12.0,22.0,1.14
r_t[2020-04-03T00:00:00.000000000],1.106,0.023,1.089,1.13,0.005,0.004,12.0,22.0,1.14
r_t[2020-04-04T00:00:00.000000000],1.105,0.018,1.075,1.117,0.004,0.003,16.0,22.0,0.97
r_t[2020-04-05T00:00:00.000000000],1.105,0.018,1.075,1.117,0.004,0.003,16.0,22.0,0.97
r_t[2020-04-06T00:00:00.000000000],1.105,0.018,1.075,1.117,0.004,0.003,16.0,22.0,0.97
r_t[2020-04-07T00:00:00.000000000],1.102,0.022,1.083,1.121,0.005,0.004,12.0,22.0,1.12
r_t[2020-04-08T00:00:00.000000000],1.102,0.022,1.083,1.121,0.005,0.004,12.0,22.0,1.12
r_t[2020-04-09T00:00:00.000000000],1.102,0.022,1.083,1.121,0.005,0.004,12.0,22.0,1.12
r_t[2020-04-10T00:00:00.000000000],1.109,0.025,1.084,1.142,0.007,0.005,11.0,22.0,1.22
r_t[2020-04-11T00:00:00.000000000],1.109,0.025,1.084,1.142,0.007,0.005,11.0,22.0,1.22
r_t[2020-04-12T00:00:00.000000000],1.109,0.025,1.084,1.142,0.007,0.005,11.0,22.0,1.22
r_t[2020-04-13T00:00:00.000000000],1.112,0.023,1.083,1.132,0.005,0.004,12.0,22.0,1.14
r_t[2020-04-14T00:00:00.000000000],1.112,0.023,1.083,1.132,0.005,0.004,12.0,22.0,1.14
r_t[2020-04-15T00:00:00.000000000],1.112,0.023,1.083,1.132,0.005,0.004,12.0,22.0,1.14
r_t[2020-04-16T00:00:00.000000000],1.107,0.02,1.084,1.129,0.005,0.003,10.0,22.0,1.17
r_t[2020-04-17T00:00:00.000000000],1.107,0.02,1.084,1.129,0.005,0.003,10.0,22.0,1.17
r_t[2020-04-18T00:00:00.000000000],1.107,0.02,1.084,1.129,0.005,0.003,10.0,22.0,1.17
r_t[2020-04-19T00:00:00.000000000],1.109,0.021,1.099,1.139,0.007,0.004,10.0,22.0,1.14
r_t[2020-04-20T00:00:00.000000000],1.109,0.021,1.099,1.139,0.007,0.004,10.0,22.0,1.14
r_t[2020-04-21T00:00:00.000000000],1.109,0.021,1.099,1.139,0.007,0.004,10.0,22.0,1.14
r_t[2020-04-22T00:00:00.000000000],1.102,0.024,1.09,1.129,0.005,0.006,17.0,22.0,1.2
r_t[2020-04-23T00:00:00.000000000],1.102,0.024,1.09,1.129,0.005,0.006,17.0,22.0,1.2
r_t[2020-04-24T00:00:00.000000000],1.102,0.024,1.09,1.129,0.005,0.006,17.0,22.0,1.2
r_t[2020-04-25T00:00:00.000000000],1.101,0.017,1.08,1.115,0.004,0.003,14.0,22.0,1.01
r_t[2020-04-26T00:00:00.000000000],1.101,0.017,1.08,1.115,0.004,0.003,14.0,22.0,1.01
r_t[2020-04-27T00:00:00.000000000],1.101,0.017,1.08,1.115,0.004,0.003,14.0,22.0,1.01
r_t[2020-04-28T00:00:00.000000000],1.104,0.016,1.096,1.123,0.005,0.004,12.0,22.0,1.05
r_t[2020-04-29T00:00:00.000000000],1.104,0.016,1.096,1.123,0.005,0.004,12.0,22.0,1.05
r_t[2020-04-30T00:00:00.000000000],1.104,0.016,1.096,1.123,0.005,0.004,12.0,22.0,1.05
r_t[2020-05-01T00:00:00.000000000],1.102,0.016,1.091,1.123,0.005,0.003,8.0,22.0,1.3
