,mean,sd,hdi_10%,hdi_90%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
r_t[2020-02-04T00:00:00.000000000],1.129,0.308,1.018,1.103,0.075,0.13,6.0,22.0,1.97
r_t[2020-02-05T00:00:00.000000000],1.129,0.308,1.018,1.103,0.075,0.13,6.0,22.0,1.97
r_t[2020-02-06T00:00:00.000000000],1.129,0.308,1.018,1.103,0.075,0.13,6.0,22.0,1.97
r_t[2020-02-07T00:00:00.000000000],1.352,0.225,1.166,1.548,0.087,0.061,6.0,22.0,2.11
r_t[2020-02-08T00:00:00.000000000],1.352,0.225,1.166,1.548,0.087,0.061,6.0,22.0,2.11
r_t[2020-02-09T00:00:00.000000000],1.352,0.225,1.166,1.548,0.087,0.061,6.0,22.0,2.11
r_t[2020-02-10T00:00:00.000000000],1.339,0.256,1.112,1.472,0.093,0.082,6.0,22.0,2.03
r_t[2020-02-11T00:00:00.000000000],1.339,0.256,1.112,1.472,0.093,0.082,6.0,22.0,2.03
r_t[2020-02-12T00:00:00.000000000],1.339,0.256,1.112,1.472,0.093,0.082,6.0,22.0,2.03
r_t[2020-02-13T00:00:00.000000000],1.329,0.274,1.152,1.483,0.093,0.096,6.0,22.0,2.11
r_t[2020-02-14T00:00:00.000000000],1.329,0.274,1.152,1.483,0.093,0.096,6.0,22.0,2.11
r_t[2020-02-15T00:00:00.000000000],1.329,0.274,1.152,1.483,0.093,0.096,6.0,22.0,2.11
r_t[2020-02-16T00:00:00.000000000],1.29,0.201,1.108,1.389,0.073,0.064,6.0,22.0,1.96
r_t[2020-02-17T00:00:00.000000000],1.29,0.201,1.108,1.389,0.073,0.064,6.0,22.0,1.96
r_t[2020-02-18T00:00:00.000000000],1.29,0.201,1.108,1.389,0.073,0.064,6.0,22.0,1.96
r_t[2020-02-19T00:00:00.000000000],1.244,0.14,1.143,1.335,0.051,0.044,6.0,22.0,2.02
r_t[2020-02-20T00:00:00.000000000],1.244,0.14,1.143,1.335,0.051,0.044,6.0,22.0,2.02
r_t[2020-02-21T00:00:00.000000000],1.244,0.14,1.143,1.335,0.051,0.044,6.0,22.0,2.02
r_t[2020-02-22T00:00:00.000000000],1.214,0.093,1.128,1.318,0.039,0.02,6.0,22.0,2.17
r_t[2020-02-23T00:00:00.000000000],1.214,0.093,1.128,1.318,0.039,0.02,6.0,22.0,2.17
r_t[2020-02-24T00:00:00.000000000],1.214,0.093,1.128,1.318,0.039,0.02,6.0,22.0,2.17
r_t[2020-02-25T00:00:00.000000000],1.185,0.056,1.123,1.254,0.024,0.007,6.0,22.0,1.96
r_t[2020-02-26T00:00:00.000000000],1.185,0.056,1.123,1.254,0.024,0.007,6.0,22.0,1.96
r_t[2020-02-27T00:00:00.000000000],1.185,0.056,1.123,1.254,0.024,0.007,6.0,22.0,1.96
r_t[2020-02-28T00:00:00.000000000],1.15,0.035,1.112,1.192,0.015,0.004,6.0,22.0,1.83
r_t[2020-02-29T00:00:00.000000000],1.15,0.035,1.112,1.192,0.015,0.004,6.0,22.0,1.83
r_t[2020-03-01T00:00:00.000000000],1.15,0.035,1.112,1.192,0.015,0.004,6.0,22.0,1.83
r_t[2020-03-02T00:00:00.000000000],1.14,0.036,1.11,1.188,0.012,0.005,11.0,22.0,1.4
r_t[2020-03-03T00:00:00.000000000],1.14,0.036,1.11,1.188,0.012,0.005,11.0,22.0,1.4
r_t[2020-03-04T00:00:00.000000000],1.14,0.036,1.11,1.188,0.012,0.005,11.0,22.0,1.4
r_t[2020-03-05T00:00:00.000000000],1.125,0.041,1.104,1.167,0.01,0.011,9.0,22.0,1.3
r_t[2020-03-06T00:00:00.000000000],1.125,0.041,1.104,1.167,0.01,0.011,9.0,22.0,1.3
r_t[2020-03-07T00:00:00.000000000],1.125,0.041,1.104,1.167,0.01,0.011,9.0,22.0,1.3
r_t[2020-03-08T00:00:00.000000000],1.114,0.042,1.1,1.169,0.008,0.016,11.0,22.0,1.6
r_t[2020-03-09T00:00:00.000000000],1.114,0.042,1.1,1.169,0.008,0.016,11.0,22.0,1.6
r_t[2020-03-10T00:00:00.000000000],1.114,0.042,1.1,1.169,0.008,0.016,11.0,22.0,1.6
r_t[2020-03-11T00:00:00.000000000],1.113,0.046,1.094,1.15,0.011,0.014,8.0,22.0,1.33
r_t[2020-03-12T00:00:00.000000000],1.113,0.046,1.094,1.15,0.011,0.014,8.0,22.0,1.33
r_t[2020-03-13T00:00:00.000000000],1.113,0.046,1.094,1.15,0.011,0.014,8.0,22.0,1.33
r_t[2020-03-14T00:00:00.000000000],1.108,0.035,1.095,1.137,0.008,0.012,8.0,22.0,1.34
r_t[2020-03-15T00:00:00.000000000],1.108,0.035,1.095,1.137,0.008,0.012,8.0,22.0,1.34
r_t[2020-03-16T00:00:00.000000000],1.108,0.035,1.095,1.137,0.008,0.012,8.0,22.0,1.34
r_t[2020-03-17T00:00:00.000000000],1.092,0.048,1.09,1.126,0.012,0.018,7.0,22.0,1.51
r_t[2020-03-18T00:00:00.000000000],1.092,0.048,1.09,1.126,0.012,0.018,7.0,22.0,1.51
r_t[2020-03-19T00:00:00.000000000],1.092,0.048,1.09,1.126,0.012,0.018,7.0,22.0,1.51
