,mean,sd,hdi_10%,hdi_90%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
r_t[2020-02-24T00:00:00.000000000],1.484,0.325,1.061,1.846,0.151,0.053,5.0,17.0,1.85
r_t[2020-02-25T00:00:00.000000000],1.484,0.325,1.061,1.846,0.151,0.053,5.0,17.0,1.85
r_t[2020-02-26T00:00:00.000000000],1.484,0.325,1.061,1.846,0.151,0.053,5.0,17.0,1.85
r_t[2020-02-27T00:00:00.000000000],1.669,0.204,1.491,1.974,0.094,0.032,5.0,13.0,2.13
r_t[2020-02-28T00:00:00.000000000],1.669,0.204,1.491,1.974,0.094,0.032,5.0,13.0,2.13
r_t[2020-02-29T00:00:00.000000000],1.669,0.204,1.491,1.974,0.094,0.032,5.0,13.0,2.13
r_t[2020-03-01T00:00:00.000000000],1.733,0.23,1.474,2.049,0.093,0.031,7.0,13.0,1.29
r_t[2020-03-02T00:00:00.000000000],1.733,0.23,1.474,2.049,0.093,0.031,7.0,13.0,1.29
r_t[2020-03-03T00:00:00.000000000],1.733,0.23,1.474,2.049,0.093,0.031,7.0,13.0,1.29
r_t[2020-03-04T00:00:00.000000000],1.753,0.234,1.462,2.044,0.09,0.039,8.0,13.0,1.24
r_t[2020-03-05T00:00:00.000000000],1.753,0.234,1.462,2.044,0.09,0.039,8.0,13.0,1.24
r_t[2020-03-06T00:00:00.000000000],1.753,0.234,1.462,2.044,0.09,0.039,8.0,13.0,1.24
r_t[2020-03-07T00:00:00.000000000],1.731,0.244,1.397,2.004,0.096,0.041,7.0,13.0,1.28
r_t[2020-03-08T00:00:00.000000000],1.731,0.244,1.397,2.004,0.096,0.041,7.0,13.0,1.28
r_t[2020-03-09T00:00:00.000000000],1.731,0.244,1.397,2.004,0.096,0.041,7.0,13.0,1.28
r_t[2020-03-10T00:00:00.000000000],1.71,0.217,1.471,2.023,0.088,0.039,6.0,13.0,1.48
r_t[2020-03-11T00:00:00.000000000],1.71,0.217,1.471,2.023,0.088,0.039,6.0,13.0,1.48
r_t[2020-03-12T00:00:00.000000000],1.71,0.217,1.471,2.023,0.088,0.039,6.0,13.0,1.48
r_t[2020-03-13T00:00:00.000000000],1.646,0.208,1.456,1.926,0.092,0.031,6.0,14.0,1.58
r_t[2020-03-14T00:00:00.000000000],1.646,0.208,1.456,1.926,0.092,0.031,6.0,14.0,1.58
r_t[2020-03-15T00:00:00.000000000],1.646,0.208,1.456,1.926,0.092,0.031,6.0,14.0,1.58
r_t[2020-03-16T00:00:00.000000000],1.588,0.162,1.444,1.812,0.072,0.024,6.0,13.0,1.58
r_t[2020-03-17T00:00:00.000000000],1.588,0.162,1.444,1.812,0.072,0.024,6.0,13.0,1.58
r_t[2020-03-18T00:00:00.000000000],1.588,0.162,1.444,1.812,0.072,0.024,6.0,13.0,1.58
r_t[2020-03-19T00:00:00.000000000],1.516,0.13,1.396,1.712,0.056,0.021,6.0,13.0,1.61
r_t[2020-03-20T00:00:00.000000000],1.516,0.13,1.396,1.712,0.056,0.021,6.0,13.0,1.61
r_t[2020-03-21T00:00:00.000000000],1.516,0.13,1.396,1.712,0.056,0.021,6.0,13.0,1.61
r_t[2020-03-22T00:00:00.000000000],1.438,0.094,1.363,1.596,0.039,0.015,7.0,13.0,1.37
r_t[2020-03-23T00:00:00.000000000],1.438,0.094,1.363,1.596,0.039,0.015,7.0,13.0,1.37
r_t[2020-03-24T00:00:00.000000000],1.438,0.094,1.363,1.596,0.039,0.015,7.0,13.0,1.37
r_t[2020-03-25T00:00:00.000000000],1.394,0.077,1.28,1.477,0.034,0.01,6.0,13.0,1.47
r_t[2020-03-26T00:00:00.000000000],1.394,0.077,1.28,1.477,0.034,0.01,6.0,13.0,1.47
r_t[2020-03-27T00:00:00.000000000],1.394,0.077,1.28,1.477,0.034,0.01,6.0,13.0,1.47
r_t[2020-03-28T00:00:00.000000000],1.346,0.078,1.275,1.455,0.03,0.009,8.0,33.0,1.25
r_t[2020-03-29T00:00:00.000000000],1.346,0.078,1.275,1.455,0.03,0.009,8.0,33.0,1.25
r_t[2020-03-30T00:00:00.000000000],1.346,0.078,1.275,1.455,0.03,0.009,8.0,33.0,1.25
r_t[2020-03-31T00:00:00.000000000],1.309,0.059,1.256,1.399,0.023,0.007,7.0,40.0,1.3
r_t[2020-04-01T00:00:00.000000000],1.309,0.059,1.256,1.399,0.023,0.007,7.0,40.0,1.3
r_t[2020-04-02T00:00:00.000000000],1.309,0.059,1.256,1.399,0.023,0.007,7.0,40.0,1.3
r_t[2020-04-03T00:00:00.000000000],1.272,0.044,1.23,1.337,0.015,0.004,7.0,40.0,1.3
r_t[2020-04-04T00:00:00.000000000],1.272,0.044,1.23,1.337,0.015,0.004,7.0,40.0,1.3
r_t[2020-04-05T00:00:00.000000000],1.272,0.044,1.23,1.337,0.015,0.004,7.0,40.0,1.3
r_t[2020-04-06T00:00:00.000000000],1.251,0.035,1.206,1.294,0.006,0.005,41.0,41.0,1.09
r_t[2020-04-07T00:00:00.000000000],1.251,0.035,1.206,1.294,0.006,0.005,41.0,41.0,1.09
r_t[2020-04-08T00:00:00.000000000],1.251,0.035,1.206,1.294,0.006,0.005,41.0,41.0,1.09
r_t[2020-04-09T00:00:00.000000000],1.219,0.029,1.172,1.23,0.01,0.006,10.0,17.0,1.23
r_t[2020-04-10T00:00:00.000000000],1.219,0.029,1.172,1.23,0.01,0.006,10.0,17.0,1.23
r_t[2020-04-11T00:00:00.000000000],1.219,0.029,1.172,1.23,0.01,0.006,10.0,17.0,1.23
r_t[2020-04-12T00:00:00.000000000],1.2,0.03,1.148,1.223,0.012,0.007,8.0,17.0,1.76
r_t[2020-04-13T00:00:00.000000000],1.2,0.03,1.148,1.223,0.012,0.007,8.0,17.0,1.76
r_t[2020-04-14T00:00:00.000000000],1.2,0.03,1.148,1.223,0.012,0.007,8.0,17.0,1.76
r_t[2020-04-15T00:00:00.000000000],1.165,0.031,1.149,1.203,0.009,0.005,9.0,40.0,1.19
r_t[2020-04-16T00:00:00.000000000],1.165,0.031,1.149,1.203,0.009,0.005,9.0,40.0,1.19
r_t[2020-04-17T00:00:00.000000000],1.165,0.031,1.149,1.203,0.009,0.005,9.0,40.0,1.19
r_t[2020-04-18T00:00:00.000000000],1.134,0.057,1.101,1.222,0.018,0.015,11.0,13.0,1.17
r_t[2020-04-19T00:00:00.000000000],1.134,0.057,1.101,1.222,0.018,0.015,11.0,13.0,1.17
r_t[2020-04-20T00:00:00.000000000],1.134,0.057,1.101,1.222,0.018,0.015,11.0,13.0,1.17
r_t[2020-04-21T00:00:00.000000000],1.118,0.073,1.051,1.206,0.029,0.014,6.0,13.0,1.42
r_t[2020-04-22T00:00:00.000000000],1.118,0.073,1.051,1.206,0.029,0.014,6.0,13.0,1.42
r_t[2020-04-23T00:00:00.000000000],1.118,0.073,1.051,1.206,0.029,0.014,6.0,13.0,1.42
r_t[2020-04-24T00:00:00.000000000],1.099,0.07,1.018,1.184,0.028,0.007,7.0,16.0,1.37
r_t[2020-04-25T00:00:00.000000000],1.099,0.07,1.018,1.184,0.028,0.007,7.0,16.0,1.37
r_t[2020-04-26T00:00:00.000000000],1.099,0.07,1.018,1.184,0.028,0.007,7.0,16.0,1.37
r_t[2020-04-27T00:00:00.000000000],1.085,0.066,1.007,1.164,0.03,0.007,6.0,18.0,1.54
r_t[2020-04-28T00:00:00.000000000],1.085,0.066,1.007,1.164,0.03,0.007,6.0,18.0,1.54
r_t[2020-04-29T00:00:00.000000000],1.085,0.066,1.007,1.164,0.03,0.007,6.0,18.0,1.54
r_t[2020-04-30T00:00:00.000000000],1.081,0.068,0.997,1.167,0.03,0.012,6.0,18.0,2.04
r_t[2020-05-01T00:00:00.000000000],1.081,0.068,0.997,1.167,0.03,0.012,6.0,18.0,2.04
r_t[2020-05-02T00:00:00.000000000],1.081,0.068,0.997,1.167,0.03,0.012,6.0,18.0,2.04
r_t[2020-05-03T00:00:00.000000000],1.081,0.06,1.012,1.162,0.024,0.011,7.0,13.0,1.75
